;FI-01;FI-02;FI-03;FI-04;FI-05;FI-06;FI-07;FI-08;FI-09;FI-10;FI-11;FI-12;FI-13;FI-14;FI-15;FI-16;FI-17;FI-18;FI-19;Total;;
FI-01;3 355;4;0;0;1;0;0;1;1;2;5;19;0;0;0;0;2;232;84;3 706;;
FI-02;0;10 623;13;240;10;137;7;110;1 728;37;194;17;115;45;69;368;43;4 035;161;17 952;;
FI-03;1;9;7 685;18;7;102;191;235;23;36;573;1 054;8;103;24;60;171;1 322;213;11 835;;
FI-04;6;2 388;80;16 767;31;561;32;1 263;1 816;110;673;45;573;166;1 511;2 092;129;15 584;449;44 276;;
FI-05;0;36;41;71;6 359;108;33;148;78;102;206;32;140;1 874;440;138;52;1 123;145;11 126;;
FI-06;2;27;23;35;8;8 261;6;53;41;32;834;11;13;52;36;378;71;8 460;589;18 932;;
FI-07;2;4;58;4;6;14;2 224;46;4;10;38;219;1;213;6;16;10;162;37;3 074;;
FI-08;1;64;769;241;26;519;247;17 393;165;97;2 280;172;52;660;307;1 338;164;6 494;456;31 445;;
FI-09;2;196;10;79;6;125;5;63;8 969;20;203;7;24;23;25;1 066;22;5 451;115;16 411;;
FI-10;0;146;310;233;108;374;132;552;212;13 910;1 079;158;147;2 660;348;374;369;2 886;791;24 789;;
FI-11;3;38;998;41;11;1 411;23;481;91;63;28 922;97;35;104;64;360;917;6 660;957;41 276;;
FI-12;73;4;847;2;1;22;445;30;10;9;122;14 843;3;43;7;17;177;849;169;17 673;;
FI-13;1;339;21;318;74;208;5;230;219;51;355;19;14 327;149;653;365;51;3 744;233;21 362;;
FI-14;0;53;165;65;342;175;413;265;104;613;446;147;71;20 315;323;199;146;1 913;363;26 118;;
FI-15;3;106;76;678;136;202;29;899;181;96;500;61;437;479;18 736;347;86;3 995;287;27 334;;
FI-16;0;39;27;61;9;505;9;240;195;42;337;20;27;43;42;9 372;33;8 520;161;19 682;;
FI-17;2;12;120;12;5;127;5;55;17;20;1 037;38;11;42;17;51;13 062;1 599;1 400;17 632;;
FI-18;38;22;36;32;11;249;8;63;129;46;193;72;27;53;43;247;64;33 242;553;35 128;;
FI-19;143;18;39;13;7;411;11;65;48;53;660;89;27;60;31;94;1 312;10 619;28 839;42 539;;
Total;3 632;14 128;11 318;18 910;7 158;13 511;3 825;22 192;14 031;15 349;38 657;17 120;16 038;27 084;22 682;16 882;16 881;116 890;36 002;432 290;;
;
